"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"245",245,0.1,0.2,0,0.4,0.05,0.05,0.2,0.2,0,0,0.394,NA
"246",246,0.1,0.2,0,0.8,0.1,0.05,0.2,0.2,0,0,0.705,NA
"247",247,0.1,0.2,0,0.7,0.1,0.05,0.2,0.2,0,0,0.657,NA
"248",248,0.1,0.2,0,0.6,0.1,0.05,0.2,0.2,0,0,0.592,NA
"249",249,0.1,0.2,0,0.5,0.1,0.05,0.2,0.2,0,0,0.499,NA
"250",250,0.1,0.2,0,0.4,0.1,0.05,0.2,0.2,0,0,0.362,NA
"251",251,0.1,0.2,0,0.8,0.15,0.05,0.2,0.2,0,0,0.69,NA
"252",252,0.1,0.2,0,0.7,0.15,0.05,0.2,0.2,0,0,0.638,NA
"253",253,0.1,0.2,0,0.6,0.15,0.05,0.2,0.2,0,0,0.569,NA
"254",254,0.1,0.2,0,0.5,0.15,0.05,0.2,0.2,0,0,0.472,NA
"255",255,0.1,0.2,0,0.4,0.15,0.05,0.2,0.2,0,0,0.333,NA
"256",256,0.1,0.2,0,0.8,0.2,0.05,0.2,0.2,0,0.719,0,NA
"257",257,0.1,0.2,0,0.7,0.2,0.05,0.2,0.2,0,0.675,0,NA
"258",258,0.1,0.2,0,0.6,0.2,0.05,0.2,0.2,0,0.614,0,NA
"259",259,0.1,0.2,0,0.5,0.2,0.05,0.2,0.2,0,0.527,0,NA
"260",260,0.1,0.2,0,0.4,0.2,0.05,0.2,0.2,0,0.394,0,NA
"261",261,0.1,0.2,0,0.8,0.05,0.1,0.2,0.2,0,0,0.719,NA
"262",262,0.1,0.2,0,0.7,0.05,0.1,0.2,0.2,0,0,0.675,NA
"263",263,0.1,0.2,0,0.6,0.05,0.1,0.2,0.2,0,0,0.614,NA
"264",264,0.1,0.2,0,0.5,0.05,0.1,0.2,0.2,0,0,0.527,NA
"265",265,0.1,0.2,0,0.4,0.05,0.1,0.2,0.2,0,0,0.394,NA
"266",266,0.1,0.2,0,0.8,0.1,0.1,0.2,0.2,0,0,0.705,NA
"267",267,0.1,0.2,0,0.7,0.1,0.1,0.2,0.2,0,0,0.657,NA
"268",268,0.1,0.2,0,0.6,0.1,0.1,0.2,0.2,0,0,0.592,NA
"269",269,0.1,0.2,0,0.5,0.1,0.1,0.2,0.2,0,0,0.499,NA
"270",270,0.1,0.2,0,0.4,0.1,0.1,0.2,0.2,0,0,0.362,NA
"271",271,0.1,0.2,0,0.8,0.15,0.1,0.2,0.2,0,0,0.69,NA
"272",272,0.1,0.2,0,0.7,0.15,0.1,0.2,0.2,0,0,0.638,NA
"273",273,0.1,0.2,0,0.6,0.15,0.1,0.2,0.2,0,0,0.569,NA
"274",274,0.1,0.2,0,0.5,0.15,0.1,0.2,0.2,0,0,0.472,NA
"275",275,0.1,0.2,0,0.4,0.15,0.1,0.2,0.2,0,0,0.333,NA
"276",276,0.1,0.2,0,0.8,0.2,0.1,0.2,0.2,0,0.705,0,NA
"277",277,0.1,0.2,0,0.7,0.2,0.1,0.2,0.2,0,0.657,0,NA
"278",278,0.1,0.2,0,0.6,0.2,0.1,0.2,0.2,0,0.592,0,NA
"279",279,0.1,0.2,0,0.5,0.2,0.1,0.2,0.2,0,0.499,0,NA
"280",280,0.1,0.2,0,0.4,0.2,0.1,0.2,0.2,0,0.362,0,NA
"281",281,0.1,0.2,0,0.8,0.05,0.15,0.2,0.2,0,0,0.719,NA
"282",282,0.1,0.2,0,0.7,0.05,0.15,0.2,0.2,0,0,0.675,NA
"283",283,0.1,0.2,0,0.6,0.05,0.15,0.2,0.2,0,0,0.614,NA
"284",284,0.1,0.2,0,0.5,0.05,0.15,0.2,0.2,0,0,0.527,NA
"285",285,0.1,0.2,0,0.4,0.05,0.15,0.2,0.2,0,0,0.394,NA
"286",286,0.1,0.2,0,0.8,0.1,0.15,0.2,0.2,0,0,0.705,NA
"287",287,0.1,0.2,0,0.7,0.1,0.15,0.2,0.2,0,0,0.657,NA
"288",288,0.1,0.2,0,0.6,0.1,0.15,0.2,0.2,0,0,0.592,NA
"289",289,0.1,0.2,0,0.5,0.1,0.15,0.2,0.2,0,0,0.499,NA
"290",290,0.1,0.2,0,0.4,0.1,0.15,0.2,0.2,0,0,0.362,NA
